,_id,l_id,r_id,l_title,l_salary,l_company,l_address,r_title,r_maxSalary,r_company,r_address
23,97,610,979,IT Business Analyst,You'll love it,Techcombank,"['C5 Building Tower, D’Capitale Tower, 119 Tran Duy Hung, Cau Giay, Ha Noi']",IT Business Analyst,0,Techcombank,"Tòa nhà Techcombank, 119 Trần Duy Hưng, Cầu Giấy, Hà Nội"
24,99,114,1018,Senior Back End Developer (Java/.NET),You'll love it,Techcombank,"['C5 Building Tower, D’Capitale Tower, 119 Tran Duy Hung, Cau Giay, Ha Noi']",Senior Back End Developer,0,Techcombank,"Tòa nhà Techcombank, 119 Trần Duy Hưng, Cầu Giấy, Hà Nội"
25,102,496,1018,Sr Back End Developer (Java/NodeJS/SQL),You'll love it,Techcombank,"['191 Bà Triệu, Hai Ba Trung, Ha Noi', 'C5 Building Tower, D’Capitale Tower, 119 Tran Duy Hung, Cau Giay, Ha Noi']",Senior Back End Developer,0,Techcombank,"Tòa nhà Techcombank, 119 Trần Duy Hưng, Cầu Giấy, Hà Nội"
26,105,193,1043,.NET Software Engineer - Up to $1500,"1,000 - 1,500 USD",Kofax Vietnam,"['521 Kim Ma, Ba Dinh, Ha Noi']",".NET Software Engineer (salary Up to Usd 1,500)",1500,"Kofax Vietnam Co., Ltd.","11 Fl., A tower, Handi Resco Bld.,521 Kim Ma, Ngoc Khanh, Ba Dinh"
27,110,191,1044,Java Software Engineer - Up to $1500,"1,000 - 1,500 USD",Kofax Vietnam,"['521 Kim Ma, Ba Dinh, Ha Noi']","Java Software Engineer (Salary up to 1,500$)",1500,"Kofax Vietnam Co., Ltd.","11 Fl., A tower, Handi Resco Bld.,521 Kim Ma, Ngoc Khanh, Ba Dinh"
28,113,534,1044,Java Software Engineer - Up to $1500,"1,000 - 1,500 USD",Kofax Vietnam,"['521 Kim Ma, Ba Dinh, Ha Noi']","Java Software Engineer (Salary up to 1,500$)",1500,"Kofax Vietnam Co., Ltd.","11 Fl., A tower, Handi Resco Bld.,521 Kim Ma, Ngoc Khanh, Ba Dinh"
29,117,191,1045,Java Software Engineer - Up to $1500,"1,000 - 1,500 USD",Kofax Vietnam,"['521 Kim Ma, Ba Dinh, Ha Noi']","Mobile Software Engineer (Salary Up to 1,500$)",1500,"Kofax Vietnam Co., Ltd.","11 Fl., A tower, Handi Resco Bld.,521 Kim Ma, Ngoc Khanh, Ba Dinh"
30,118,192,1045,Mobile Software Engineer.,"1,000 - 1,500 USD",Kofax Vietnam,"['521 Kim Ma, Ba Dinh, Ha Noi']","Mobile Software Engineer (Salary Up to 1,500$)",1500,"Kofax Vietnam Co., Ltd.","11 Fl., A tower, Handi Resco Bld.,521 Kim Ma, Ngoc Khanh, Ba Dinh"
31,119,193,1045,.NET Software Engineer - Up to $1500,"1,000 - 1,500 USD",Kofax Vietnam,"['521 Kim Ma, Ba Dinh, Ha Noi']","Mobile Software Engineer (Salary Up to 1,500$)",1500,"Kofax Vietnam Co., Ltd.","11 Fl., A tower, Handi Resco Bld.,521 Kim Ma, Ngoc Khanh, Ba Dinh"
32,121,534,1045,Java Software Engineer - Up to $1500,"1,000 - 1,500 USD",Kofax Vietnam,"['521 Kim Ma, Ba Dinh, Ha Noi']","Mobile Software Engineer (Salary Up to 1,500$)",1500,"Kofax Vietnam Co., Ltd.","11 Fl., A tower, Handi Resco Bld.,521 Kim Ma, Ngoc Khanh, Ba Dinh"
